#add,verb,replacement
don't,know
don't,be
don't,fear,be afraid
don't,give
don't,let
don't,take
don't,say
don't,speak
doesn't,exists,exist
didn't,shewed,show
don't,destroy
don't,serve
don't,worship
don't,depart
don't,leave
don't,deliver
don't,cause
don't,see
don't,hear
didn't,saw,see
didn't,understood,understand
don't,go
didn't,knew,know
don't,rejoice
didn't,dwelt,dwell
didn't,feared,fear
didn't,remembered,remember
don't,prophesy
don't,perish
don't,bring
didn't,came,come
don't,weep
don't,draw
don't,arise
didn't,hearkened,listen
didn't,staid,stay
don't,prepare
don't,draw
doesn't,knows,know
doesn't,proceeds,proceed
don't,seek
didn't,received,receive
don't,receive
didn't,trusted,trust
didn't,drew,draw
didn't,returned,return
don't,turn
didn't,attended,pay attention
don't,bless
don't,clothe
didn't,repented,repent
don't,love
don't,lay
don't,forsake
doesn't,serves,serve
didn't,found,find
don't,delight
don't,enter
don't,regard
don't,consider
don't,believe
doesn't,chooses,choose
don't,hearken
don't,sanctify
didn't,turned,turn
didn't,meant,mean
don't,exhort
don't,cleave
didn't,remained,remain
don't,oppress
don't,raise
don't,trust
don't,confide
didn't,prevailed,prevail